e,4910
t,3843
o,3519
a,3064
n,2917
i,2754
r,2511
h,2243
s,2228
d,1914
l,1604
u,1324
c,1144
m,1029
w,1019
f,898
y,886
g,885
p,775
b,667
k,400
-,342
v,319
T,277
I,227
S,164
A,149
E,148
P,138
G,123
