word, absfrequency, relfrequency
broke,25,0.05
died,25,0.05
different,25,0.05
e,25,0.05
floor,25,0.05
gang,25,0.05
hat,25,0.05
life,25,0.05
loose,25,0.05
mo,25,0.05
paper,25,0.05
round,25,0.05
silas,25,0.05
tin,25,0.05
worth,25,0.05
_is_,24,0.04
ask,24,0.04
cold,24,0.04
crowd,24,0.04
f,24,0.04
father,24,0.04
hardly,24,0.04
land,24,0.04
none,24,0.04
quick,24,0.04
saw,24,0.04
sign,24,0.04
sorry,24,0.04
watson,24,0.04
bill,23,0.04
close,23,0.04
dig,23,0.04
forgot,23,0.04
hard,23,0.04
hung,23,0.04
jumped,23,0.04
notice,23,0.04
ole,23,0.04
rich,23,0.04
says;,23,0.04
slid,23,0.04
stole,23,0.04
window,23,0.04
women,23,0.04
yonder,23,0.04
_i_,22,0.04
ag,22,0.04
b,22,0.04
brother,22,0.04
care,22,0.04
daylight,22,0.04
fifteen,22,0.04
fixed,22,0.04
ground,22,0.04
hide,22,0.04
out:,22,0.04
places,22,0.04
plan,22,0.04
rats,22,0.04
satisfied,22,0.04
supper,22,0.04
whilst,22,0.04
aboard,21,0.04
ahead,21,0.04
alone,21,0.04
cents,21,0.04
church,21,0.04
current,21,0.04
cut,21,0.04
girls,21,0.04
hanging,21,0.04
jis,21,0.04
lantern,21,0.04
line,21,0.04
mr,21,0.04
peter,21,0.04
prisoner,21,0.04
shirt,21,0.04
shook,21,0.04
stop,21,0.04
table,21,0.04
tears,21,0.04
terms,21,0.04
tied,21,0.04
village,21,0.04
waited,21,0.04
whether,21,0.04
wrote,21,0.04
blow,20,0.04
bottom,20,0.04
corner,20,0.04
far,20,0.04
fast,20,0.04
fell,20,0.04
hair,20,0.04
happened,20,0.04
harvey,20,0.04
hurt,20,0.04
ladder,20,0.04
matter,20,0.04
minutes,20,0.04
reck,20,0.04
sir,20,0.04
sudden,20,0.04
sweat,20,0.04
throw,20,0.04
together,20,0.04
words,20,0.04
agreement,19,0.03
busted,19,0.03
children,19,0.03
dinner,19,0.03
feeling,19,0.03
friend,19,0.03
harm,19,0.03
heads,19,0.03
horse,19,0.03
looky,19,0.03
lost,19,0.03
mouth,19,0.03
noticed,19,0.03
outside,19,0.03
pie,19,0.03
plenty,19,0.03
pose,19,0.03
right;,19,0.03
skiff,19,0.03
slipped,19,0.03
state,19,0.03
ther,19,0.03
thick,19,0.03
top,19,0.03
towhead,19,0.03
tree,19,0.03
wasn,19,0.03
wigwam,19,0.03
worked,19,0.03
years,19,0.03
ashore,18,0.03
awhile,18,0.03
bag,18,0.03
cat,18,0.03
catch,18,0.03
chile,18,0.03
coffin,18,0.03
dear,18,0.03
difference,18,0.03
george,18,0.03
goodness,18,0.03
hole,18,0.03
horses,18,0.03
hunt,18,0.03
jump,18,0.03
kings,18,0.03
leg,18,0.03
letter,18,0.03
listened,18,0.03
mine,18,0.03
ought,18,0.03
perfectly,18,0.03
powerful,18,0.03
raised,18,0.03
rope,18,0.03
running,18,0.03
send,18,0.03
solid,18,0.03
somehow,18,0.03
spread,18,0.03
states,18,0.03
them;,18,0.03
thinks,18,0.03
tired,18,0.03
too;,18,0.03
trees,18,0.03
turns,18,0.03
week,18,0.03
wid,18,0.03
wished,18,0.03
_he_,17,0.03
again;,17,0.03
ago,17,0.03
born,17,0.03
catched,17,0.03
clean,17,0.03
copyright,17,0.03
cried,17,0.03
dah,17,0.03
fog,17,0.03
hang,17,0.03
honest,17,0.03
late,17,0.03
letting,17,0.03
likely,17,0.03
locked,17,0.03
mos,17,0.03
natural,17,0.03
neck,17,0.03
nice,17,0.03
onto,17,0.03
preacher,17,0.03
quiet,17,0.03
seemed,17,0.03
sell,17,0.03
shove,17,0.03
sold,17,0.03
spoon,17,0.03
stick,17,0.03
stuck,17,0.03
um,17,0.03
up;,17,0.03
wall,17,0.03
william,17,0.03
wreck,17,0.03
account,16,0.03
beautiful,16,0.03
besides,16,0.03
bust,16,0.03
clear,16,0.03
clock,16,0.03
death,16,0.03
fire,16,0.03
girl,16,0.03
guns,16,0.03
knows,16,0.03
license,16,0.03
lightning,16,0.03
making,16,0.03
mark,16,0.03
noise,16,0.03
others,16,0.03
pay,16,0.03
quarter,16,0.03
rain,16,0.03
real,16,0.03
sherburn,16,0.03
shucks,16,0.03
sort,16,0.03
sung,16,0.03
telling,16,0.03
time;,16,0.03
waked,16,0.03
wild,16,0.03
yards,16,0.03
yo,16,0.03
--and,15,0.03
;,15,0.03
_did_,15,0.03
bread,15,0.03
clumb,15,0.03
coat,15,0.03
deep,15,0.03
die,15,0.03
donations,15,0.03
ef,15,0.03
eye,15,0.03
frauds,15,0.03
fur,15,0.03
gets,15,0.03
gold,15,0.03
grabbed,15,0.03
hours,15,0.03
illinois,15,0.03
lived,15,0.03
longer,15,0.03
louis,15,0.03
miles,15,0.03
mother,15,0.03
nearly,15,0.03
ones,15,0.03
part,15,0.03
phelps,15,0.03
regular,15,0.03
rode,15,0.03
s_,15,0.03
sense,15,0.03
setting,15,0.03
shoulder,15,0.03
sich,15,0.03
sings,15,0.03
sister,15,0.03
snakes,15,0.03
son,15,0.03
standing,15,0.03
stayed,15,0.03
store,15,0.03
stuff,15,0.03
truck,15,0.03
wide,15,0.03
worse,15,0.03
3,14,0.03
_that_,14,0.03
_they_,14,0.03
adventures,14,0.03
afraid,14,0.03
begin,14,0.03
blue,14,0.03
boggs,14,0.03
books,14,0.03
