e,18314
n,10610
r,8689
i,8146
t,7055
s,6072
a,6004
h,5529
d,4910
u,4188
c,3860
l,3686
o,3474
g,3222
m,2869
w,1796
f,1781
b,1720
z,1174
k,1150
ü,816
p,741
v,697
S,595
ä,581
G,559
ß,460
A,369
E,354
ö,320
