word, absfrequency, relfrequency
and,6293,5.31
the,4988,4.21
i,3549,3.00
to,2969,2.51
a,2961,2.50
it,2426,2.05
t,2074,1.75
was,2024,1.71
he,1827,1.54
of,1777,1.50
you,1505,1.27
in,1501,1.27
that,1166,0.98
s,1124,0.95
but,1020,0.86
we,959,0.81
so,927,0.78
on,863,0.73
for,862,0.73
all,841,0.71
they,817,0.69
up,797,0.67
out,775,0.65
me,686,0.58
him,672,0.57
there,612,0.52
got,609,0.51
then,580,0.49
with,574,0.48
no,571,0.48
